freq,vin,amp,pha,v1,v2,zin,zin_db,pha_zin,res
54222.72041303552,10.0,-50.9,-45.0,10.005,0.03215,57.97265563987704,35.26446390402677,-45.13048443220116,18000
58197.247008391125,10.0,-51.3,-48.0,9.925,0.03125,56.79456390963022,35.08613538427949,-48.13434785987549,18000
62463.10649034589,10.0,-51.7,-45.0,9.94,0.0284,51.53257757598252,34.241637314204795,-45.115989130236954,18000
67041.6535658762,10.0,-33.4,-5.0,9.995,0.20975,385.8036819266081,51.727327360547065,-5.107031782020471,18000
71955.80824244837,10.0,-33.4,-4.0,10.005,0.21295,391.4290206597893,51.8530604246605,-4.086913618934123,18000
77230.17056457866,10.0,-33.4,-3.0,10.0,0.21025,386.5661762800939,51.744477030190986,-3.0643982749429663,18000
82891.1437605855,10.0,-35.7,-13.0,10.015,0.2155,395.6087091585245,51.94531687679685,-13.283273385819147,18000
88967.0664160021,10.0,-34.2,-10.0,10.025,0.1909,349.31182469320305,50.86426574722686,-10.19307874472535,18000
95488.35433530317,10.0,-36.3,-15.0,10.045,0.1526,277.5196218045169,48.86587389981618,-15.228634205819667,18000
102487.65280209776,10.0,-36.6,-9.0,10.045,0.197,359.9826914461984,51.12563239367253,-9.179252366026216,18000
110000.00000000009,10.0,-33.5,-3.0,9.98,0.2006,369.21451384350803,51.345575296603705,-3.0615076506819525,18000
