Freq.	V(vout3)
1.90546071796324e+002	(-1.60318157685350e+001dB,-1.39395575778839e+002°)
1.94984459975804e+002	(-1.59184752720817e+001dB,-1.38355599373415e+002°)
1.99526231496887e+002	(-1.58008888074127e+001dB,-1.37317195305991e+002°)
2.04173794466952e+002	(-1.56789873230882e+001dB,-1.36280959747739e+002°)
2.08929613085403e+002	(-1.55527031039798e+001dB,-1.35247522218382e+002°)
2.13796208950222e+002	(-1.54219700004947e+001dB,-1.34217545717549e+002°)
2.18776162394954e+002	(-1.52867236570942e+001dB,-1.33191726780378e+002°)
2.23872113856833e+002	(-1.51469017389664e+001dB,-1.32170795459402e+002°)
2.29086765276776e+002	(-1.50024441557214e+001dB,-1.31155515235844e+002°)
2.34422881531991e+002	(-1.48532932809901e+001dB,-1.30146682864495e+002°)
2.39883291901948e+002	(-1.46993941668495e+001dB,-1.29145128157532e+002°)
2.45470891568502e+002	(-1.45406947520515e+001dB,-1.28151713713748e+002°)
2.51188643150957e+002	(-1.43771460631187e+001dB,-1.27167334600921e+002°)
2.57039578276885e+002	(-1.42087024074726e+001dB,-1.26192918000200e+002°)
2.63026799189537e+002	(-1.40353215578947e+001dB,-1.25229422822642e+002°)
2.69153480392690e+002	(-1.38569649277712e+001dB,-1.24277839309136e+002°)
2.75422870333816e+002	(-1.36735977367692e+001dB,-1.23339188626198e+002°)
2.81838293126444e+002	(-1.34851891667895e+001dB,-1.22414522471105e+002°)
2.88403150312659e+002	(-1.32917125082970e+001dB,-1.21504922700971e+002°)
2.95120922666637e+002	(-1.30931452973932e+001dB,-1.20611501001236e+002°)
3.01995172040200e+002	(-1.28894694443028e+001dB,-1.19735398609935e+002°)
3.09029543251358e+002	(-1.26806713542772e+001dB,-1.18877786114843e+002°)
3.16227766016837e+002	(-1.24667420422875e+001dB,-1.18039863341178e+002°)
3.23593656929627e+002	(-1.22476772432807e+001dB,-1.17222859348020e+002°)
3.31131121482590e+002	(-1.20234775202124e+001dB,-1.16428032551885e+002°)
3.38844156139201e+002	(-1.17941483725405e+001dB,-1.15656670995952e+002°)
3.46736850452530e+002	(-1.15597003483900e+001dB,-1.14910092783358e+002°)
3.54813389233574e+002	(-1.13201491641528e+001dB,-1.14189646692550e+002°)
3.63078054770100e+002	(-1.10755158359057e+001dB,-1.13496712992027e+002°)
3.71535229097171e+002	(-1.08258268276859e+001dB,-1.12832704470800e+002°)
3.80189396320559e+002	(-1.05711142223920e+001dB,-1.12199067699455e+002°)
3.89045144994279e+002	(-1.03114159218616e+001dB,-1.11597284534837e+002°)
3.98107170553495e+002	(-1.00467758835427e+001dB,-1.11028873878937e+002°)
4.07380277804111e+002	(-9.77724440209978e+000dB,-1.10495393699376e+002°)
4.16869383470333e+002	(-9.50287844533512e+000dB,-1.09998443314972e+002°)
4.26579518801591e+002	(-9.22374205489408e+000dB,-1.09539665944833e+002°)
4.36515832240164e+002	(-8.93990682345473e+000dB,-1.09120751513272e+002°)
4.46683592150961e+002	(-8.65145246138050e+000dB,-1.08743439695078e+002°)
4.57088189614873e+002	(-8.35846746722514e+000dB,-1.08409523176140e+002°)
4.67735141287196e+002	(-8.06104991794973e+000dB,-1.08120851092653e+002°)
4.78630092322636e+002	(-7.75930839625321e+000dB,-1.07879332597623e+002°)
4.89778819368444e+002	(-7.45336307399807e+000dB,-1.07686940485677e+002°)
5.01187233627270e+002	(-7.14334697225936e+000dB,-1.07545714785488e+002°)
5.12861383991362e+002	(-6.82940741999064e+000dB,-1.07457766202870e+002°)
5.24807460249770e+002	(-6.51170773455709e+000dB,-1.07425279265813e+002°)
5.37031796370250e+002	(-6.19042914829091e+000dB,-1.07450514984589e+002°)
5.49540873857622e+002	(-5.86577300555731e+000dB,-1.07535812794665e+002°)
5.62341325190346e+002	(-5.53796325434374e+000dB,-1.07683591496514e+002°)
5.75439937337154e+002	(-5.20724925468094e+000dB,-1.07896348843803e+002°)
5.88843655355586e+002	(-4.87390892285452e+000dB,-1.08176659359258e+002°)
6.02559586074355e+002	(-4.53825222478549e+000dB,-1.08527169875756e+002°)
6.16595001861479e+002	(-4.20062502336982e+000dB,-1.08950592209433e+002°)
6.30957344480190e+002	(-3.86141327219903e+000dB,-1.09449692273794e+002°)
6.45654229034652e+002	(-3.52104753085229e+000dB,-1.10027274842290e+002°)
6.60693448007592e+002	(-3.18000775379339e+000dB,-1.10686163067477e+002°)
