Freq.	V(vout)
Step Information: Run=1  (Run: 1/18)
7.76247116628690e+001	(-1.12036748502454e+001dB,-1.52966990163476e+001°)
7.94328234724279e+001	(-1.12294793739324e+001dB,-1.48637913349191e+001°)
8.12830516164097e+001	(-1.12543606148150e+001dB,-1.44352670650762e+001°)
8.31763771102669e+001	(-1.12783538506281e+001dB,-1.40110846952241e+001°)
8.51138038202374e+001	(-1.13014937316244e+001dB,-1.35911945434398e+001°)
8.70963589956078e+001	(-1.13238142640752e+001dB,-1.31755390906599e+001°)
8.91250938133743e+001	(-1.13453487972214e+001dB,-1.27640533032815e+001°)
9.12010839355907e+001	(-1.13661300134536e+001dB,-1.23566649440348e+001°)
9.33254300796988e+001	(-1.13861899215009e+001dB,-1.19532948701249e+001°)
9.54992586021433e+001	(-1.14055598524067e+001dB,-1.15538573177662e+001°)
9.77237220955808e+001	(-1.14242704580735e+001dB,-1.11582601723549e+001°)
9.99999999999997e+001	(-1.14423517121613e+001dB,-1.07664052236338e+001°)
1.02329299228075e+002	(-1.14598329131273e+001dB,-1.03781884053085e+001°)
1.04712854805090e+002	(-1.14767426892015e+001dB,-9.99350001866280e+000°)
1.07151930523760e+002	(-1.14931090050963e+001dB,-9.61222493981176e+000°)
1.09647819614318e+002	(-1.15089591702558e+001dB,-9.23424281029943e+000°)
1.12201845430196e+002	(-1.15243198484567e+001dB,-8.85942821082036e+000°)
1.14815362149688e+002	(-1.15392170685780e+001dB,-8.48765081790017e+000°)
1.17489755493953e+002	(-1.15536762363661e+001dB,-8.11877554342100e+000°)
1.20226443461741e+002	(-1.15677221470255e+001dB,-7.75266265692167e+000°)
1.23026877081238e+002	(-1.15813789984750e+001dB,-7.38916789063606e+000°)
1.25892541179416e+002	(-1.15946704051140e+001dB,-7.02814252726288e+000°)
1.28824955169313e+002	(-1.16076194119497e+001dB,-6.66943347047975e+000°)
1.31825673855640e+002	(-1.16202485089441e+001dB,-6.31288329823105e+000°)
1.34896288259165e+002	(-1.16325796454413e+001dB,-5.95833029882575e+000°)
1.38038426460288e+002	(-1.16446342445459e+001dB,-5.60560848988477e+000°)
1.41253754462275e+002	(-1.16564332173228e+001dB,-5.25454762017411e+000°)
1.44543977074592e+002	(-1.16679969766966e+001dB,-4.90497315435027e+000°)
1.47910838816820e+002	(-1.16793454509290e+001dB,-4.55670624063049e+000°)
1.51356124843620e+002	(-1.16904980965589e+001dB,-4.20956366137985e+000°)
1.54881661891248e+002	(-1.17014739106879e+001dB,-3.86335776658305e+000°)
1.58489319246111e+002	(-1.17122914424973e+001dB,-3.51789639013705e+000°)
1.62181009735892e+002	(-1.17229688038820e+001dB,-3.17298274886658e+000°)
1.65958690743755e+002	(-1.17335236790867e+001dB,-2.82841532412333e+000°)
1.69824365246174e+002	(-1.17439733332240e+001dB,-2.48398772578445e+000°)
1.73780082874937e+002	(-1.17543346195567e+001dB,-2.13948853841615e+000°)
1.77827941003892e+002	(-1.17646239854139e+001dB,-1.79470114931279e+000°)
1.81970085860998e+002	(-1.17748574766113e+001dB,-1.44940355806307e+000°)
1.86208713666286e+002	(-1.17850507402314e+001dB,-1.10336816723111e+000°)
1.90546071796324e+002	(-1.17952190256133e+001dB,-7.56361553672780e-001°)
1.94984459975804e+002	(-1.18053771833855e+001dB,-4.08144219937706e-001°)
1.99526231496887e+002	(-1.18155396623632e+001dB,-5.84703251329342e-002°)
2.04173794466952e+002	(-1.18257205041091e+001dB,2.92912605449711e-001°)
2.08929613085403e+002	(-1.18359333349403e+001dB,6.46263992717228e-001°)
2.13796208950222e+002	(-1.18461913551350e+001dB,1.00185053901879e+000°)
2.18776162394954e+002	(-1.18565073250657e+001dB,1.35994658717185e+000°)
2.23872113856833e+002	(-1.18668935479543e+001dB,1.72083450426062e+000°)
2.29086765276776e+002	(-1.18773618489032e+001dB,2.08480509126058e+000°)
2.34422881531991e+002	(-1.18879235498191e+001dB,2.45215801959182e+000°)
2.39883291901948e+002	(-1.18985894397924e+001dB,2.82320229574605e+000°)
2.45470891568502e+002	(-1.19093697404475e+001dB,3.19825675515070e+000°)
2.51188643150957e+002	(-1.19202740657137e+001dB,3.57765058643583e+000°)
2.57039578276885e+002	(-1.19313113754023e+001dB,3.96172388723968e+000°)
2.63026799189537e+002	(-1.19424899218998e+001dB,4.35082825262923e+000°)
2.69153480392690e+002	(-1.19538171892066e+001dB,4.74532739710784e+000°)
