Freq.	V(vout)
Step Information: Run=1  (Run: 1/18)
3.89045144994279e+002	(-5.33391511404139e+000dB,5.43970597265524e+001°)
3.98107170553495e+002	(-5.12462757190605e+000dB,5.49423974547648e+001°)
4.07380277804111e+002	(-4.91098285611515e+000dB,5.54589606567745e+001°)
4.16869383470333e+002	(-4.69305050906248e+000dB,5.59451898885607e+001°)
4.26579518801591e+002	(-4.47091137381855e+000dB,5.63994960926858e+001°)
4.36515832240164e+002	(-4.24465822156536e+000dB,5.68202621189313e+001°)
4.46683592150961e+002	(-4.01439642198259e+000dB,5.72058444657858e+001°)
4.57088189614873e+002	(-3.78024466053070e+000dB,5.75545752923558e+001°)
4.67735141287196e+002	(-3.54233570622282e+000dB,5.78647647601131e+001°)
4.78630092322636e+002	(-3.30081723288230e+000dB,5.81347037747072e+001°)
4.89778819368444e+002	(-3.05585269599245e+000dB,5.83626672098004e+001°)
5.01187233627270e+002	(-2.80762226599586e+000dB,5.85469177073779e+001°)
5.12861383991362e+002	(-2.55632381722529e+000dB,5.86857101620228e+001°)
5.24807460249770e+002	(-2.30217396946856e+000dB,5.87772970098823e+001°)
5.37031796370250e+002	(-2.04540917640761e+000dB,5.88199344560248e+001°)
5.49540873857622e+002	(-1.78628685174436e+000dB,5.88118897859255e+001°)
5.62341325190346e+002	(-1.52508651965462e+000dB,5.87514499170873e+001°)
5.75439937337154e+002	(-1.26211097122906e+000dB,5.86369313541778e+001°)
5.88843655355586e+002	(-9.97687402719595e-001dB,5.84666917141828e+001°)
6.02559586074355e+002	(-7.32168504696319e-001dB,5.82391429852527e+001°)
6.16595001861479e+002	(-4.65933463671630e-001dB,5.79527666721711e+001°)
6.30957344480190e+002	(-1.99388829471733e-001dB,5.76061309604384e+001°)
6.45654229034652e+002	(6.70308071677345e-002dB,5.71979099973483e+001°)
6.60693448007592e+002	(3.32862391312687e-001dB,5.67269053395400e+001°)
6.76082975391978e+002	(5.97614308122872e-001dB,5.61920695498318e+001°)
6.91830970918933e+002	(8.60766695844553e-001dB,5.55925318395229e+001°)
7.07945784384134e+002	(1.12177225474866e+000dB,5.49276255443623e+001°)
