Freq.	V(vout3)+V(vout2)+V(vout1)
1.51356124843620e+002	(6.55666653150479e+000dB,-1.71642971223360e+002°)
1.54881661891248e+002	(6.57168013332607e+000dB,-1.71436922478682e+002°)
1.58489319246111e+002	(6.58738391071456e+000dB,-1.71227781237372e+002°)
1.62181009735892e+002	(6.60380726117925e+000dB,-1.71015536941233e+002°)
1.65958690743755e+002	(6.62098074892270e+000dB,-1.70800184144908e+002°)
1.69824365246174e+002	(6.63893613743190e+000dB,-1.70581722953593e+002°)
1.73780082874937e+002	(6.65770642181696e+000dB,-1.70360159490492e+002°)
1.77827941003892e+002	(6.67732586073417e+000dB,-1.70135506395707e+002°)
1.81970085860998e+002	(6.69783000771231e+000dB,-1.69907783358380e+002°)
1.86208713666286e+002	(6.71925574167996e+000dB,-1.69677017683950e+002°)
1.90546071796324e+002	(6.74164129646828e+000dB,-1.69443244898502e+002°)
1.94984459975804e+002	(6.76502628903991e+000dB,-1.69206509392275e+002°)
1.99526231496887e+002	(6.78945174616700e+000dB,-1.68966865104455e+002°)
2.04173794466952e+002	(6.81496012925145e+000dB,-1.68724376251543e+002°)
2.08929613085403e+002	(6.84159535694868e+000dB,-1.68479118101607e+002°)
2.13796208950222e+002	(6.86940282521994e+000dB,-1.68231177796907e+002°)
2.18776162394954e+002	(6.89842942439962e+000dB,-1.67980655227435e+002°)
2.23872113856833e+002	(6.92872355282072e+000dB,-1.67727663958049e+002°)
2.29086765276776e+002	(6.96033512649456e+000dB,-1.67472332211995e+002°)
2.34422881531991e+002	(6.99331558428867e+000dB,-1.67214803913716e+002°)
2.39883291901948e+002	(7.02771788798901e+000dB,-1.66955239793985e+002°)
2.45470891568502e+002	(7.06359651656938e+000dB,-1.66693818560502e+002°)
2.51188643150957e+002	(7.10100745391940e+000dB,-1.66430738137257e+002°)
2.57039578276885e+002	(7.14000816920508e+000dB,-1.66166216976046e+002°)
2.63026799189537e+002	(7.18065758894634e+000dB,-1.65900495443691e+002°)
2.69153480392690e+002	(7.22301605979998e+000dB,-1.65633837288622e+002°)
2.75422870333816e+002	(7.26714530092602e+000dB,-1.65366531190614e+002°)
2.81838293126444e+002	(7.31310834469162e+000dB,-1.65098892397572e+002°)
2.88403150312659e+002	(7.36096946433011e+000dB,-1.64831264453365e+002°)
2.95120922666637e+002	(7.41079408701528e+000dB,-1.64564021020807e+002°)
3.01995172040200e+002	(7.46264869063662e+000dB,-1.64297567803897e+002°)
